,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
95,53.4550000827,0.210666577021,0.214917960203,0.383203345481,0.7,0,0.01,9,0.9,"{'subsample': 0.9, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 9, 'gamma': 0}",112,0.199601260557,0.395889336037,0.229793868349,0.36013028248,0.215360636836,0.393590417926,1.28071652336,0.00664989947417,0.0123301805343,0.016342091529
96,31.5003333886,0.151666561762,0.345632094165,0.925618559282,0.8,0,1,5,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",86,0.356569692178,0.925735766974,0.380263751537,0.920448414254,0.300061492615,0.930671496618,0.0606428547439,0.00249446986408,0.033642918462,0.00417437871525
97,30.6989999612,0.150666713715,0.412132106937,0.941820232213,0.8,0,1,5,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",75,0.373961421405,0.939972425457,0.491471595459,0.939657666743,0.370968001876,0.945830604437,0.0806101452768,0.000471370353746,0.0561130733789,0.00283867132028
98,30.1093332767,0.1486667792,0.459739328071,0.95273304449,0.8,0,1,5,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",73,0.421426938684,0.952792640029,0.515469207179,0.949826345976,0.44232655372,0.955580147465,0.190839058465,0.000471482745342,0.0403189116006,0.00234935758778
99,37.7353333632,0.162666718165,0.268692840345,0.959208502864,0.8,0,1,6,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",98,0.270596715787,0.959136912118,0.308739190878,0.957273995354,0.226742380047,0.961214601119,0.072499712687,0.00124723493204,0.0335014346119,0.00160954183427
100,36.8846667608,0.1656665802,0.367827921642,0.973718440193,0.8,0,1,6,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",83,0.304179088956,0.975016379092,0.466408689163,0.972604359954,0.332903820511,0.973534581533,0.0521812515874,0.00402772550624,0.0706845531054,0.000993247899965
101,1297.26866674,0.166666666667,0.419479333039,0.981183394571,0.8,0,1,6,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",74,0.395934128262,0.98230435588,0.493290914796,0.980512624969,0.36921585393,0.980733202865,1783.3850669,0.00590665276137,0.0533187332265,0.000797738195777
102,48.4203333855,0.193666617076,0.228491007153,0.982695552283,0.8,0,1,7,0.7,"{'subsample': 0.7, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",103,0.241243731558,0.982326413095,0.243633395885,0.981976928937,0.20059432445,0.983783314815,0.73997936788,0.00834001860447,0.0197494374046,0.000782285237915
103,46.58466657,0.219000021617,0.336624140818,0.990133997133,0.8,0,1,7,0.8,"{'subsample': 0.8, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",88,0.289888334539,0.989849374399,0.408474641852,0.98980397979,0.311515198161,0.990748637209,1.29907074732,0.00216031105953,0.0515659146168,0.000435011099689
104,43.715666612,0.191333373388,0.410362170775,0.993780672685,0.8,0,1,7,0.9,"{'subsample': 0.9, 'learning_rate': 1, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",76,0.408278046573,0.993387832118,0.441357731287,0.994035760864,0.381450990973,0.993918425074,0.608155842818,0.0140553863695,0.024500689216,0.000281880241009
