,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,6.40779995918,0.0492000102997,0.65251501078,0.746901866034,0.1,6,sqrt,1e-07,21,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",22,0.656739952701,0.750410334524,0.694978378542,0.738806708824,0.654897704227,0.738985871544,0.582014380403,0.760231291684,0.673949662557,0.746075123592,0.0920334649996,0.00365519459829,0.0380964057499,0.00798574957533
12,7.58739995956,0.050800037384,0.668364182337,0.81870679852,0.1,6,sqrt,1e-07,41,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.661916421739,0.821558060369,0.712533064887,0.810231816632,0.678117353764,0.811642632316,0.612652513721,0.832207888496,0.676603488963,0.817893594788,0.227622071853,0.00348717545026,0.0324329925016,0.00790946505324
13,6.99300003052,0.0487998962402,0.662720723076,0.78669125644,0.1,6,sqrt,1e-07,41,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",8,0.660971395118,0.788946105861,0.709997049177,0.775374995316,0.669508013834,0.782463007066,0.597834191819,0.797230056036,0.675295913201,0.789442117923,0.135846944759,0.00285660470351,0.0364769808271,0.00734375571945
14,6.5976000309,0.0471999645233,0.657984183933,0.765733956074,0.1,6,sqrt,1e-07,41,402,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 402, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",14,0.661340656348,0.766515795377,0.695436981898,0.752465199632,0.662615326725,0.760841735855,0.598876850382,0.782361429335,0.671654308747,0.76648562017,0.0731015783649,0.00172047339437,0.0319880312333,0.00977387185142
15,6.45859994888,0.0470000267029,0.653344911822,0.751824020568,0.1,6,sqrt,1e-07,41,602,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 602, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",19,0.654563922307,0.756925384065,0.687003759206,0.738049129899,0.664082459607,0.745910634755,0.593369018485,0.764381378422,0.66770876656,0.7538535757,0.06607446178,0.00252986495383,0.0317909281966,0.00908345732143
16,6.27759995461,0.0480000019073,0.651119376761,0.744679651621,0.1,6,sqrt,1e-07,41,802,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 802, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",24,0.648792468836,0.743961398702,0.691469115642,0.734808842892,0.65853815884,0.73979353659,0.585740336948,0.75661163627,0.671061478199,0.748222843651,0.0456622770115,0.0010954527789,0.0356675356651,0.00743974918608
17,6.16360006332,0.0453999996185,0.649003062036,0.7368448816,0.1,6,sqrt,1e-07,41,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 41, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",28,0.646401874618,0.73852959621,0.686443899647,0.725027693606,0.660215195586,0.731336071456,0.59371611775,0.753500656378,0.658240387913,0.73583039035,0.0357972401776,0.00224501013268,0.0305825704456,0.00950026537078
18,7.33240003586,0.0488000869751,0.666649112849,0.800121007227,0.1,6,sqrt,1e-07,61,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",3,0.660876364539,0.802182671233,0.711620494123,0.793151463405,0.678475918021,0.795304546048,0.611477535542,0.813500165704,0.670796224149,0.796466189747,0.0497779625771,0.000748353705077,0.0324251969285,0.0073264298292
19,6.95300002098,0.0493999958038,0.663101648458,0.781821376109,0.1,6,sqrt,1e-07,61,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",5,0.65755723687,0.782988382242,0.701534667585,0.770332185753,0.671693674994,0.776081268974,0.605334001781,0.795456491469,0.679392479818,0.784248552105,0.0658331175241,0.00265330521056,0.0322004143167,0.00846309378965
20,6.60199999809,0.0480000019073,0.659709761671,0.758196536199,0.1,6,sqrt,1e-07,61,402,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 402, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",12,0.659125438371,0.761345782153,0.693633709826,0.742548093738,0.665539148004,0.754874431964,0.60087732617,0.771663862178,0.679377796399,0.760550510961,0.0830974751545,0.00219084025905,0.0317281887077,0.00951564968118
21,6.65180006027,0.052399969101,0.656090514509,0.744844160386,0.1,6,sqrt,1e-07,61,602,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 602, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",16,0.651790775397,0.752222649486,0.697182676103,0.730933033637,0.66583117094,0.737970950957,0.59454810586,0.757991619577,0.671103363429,0.74510254827,0.180220254263,0.00344106041466,0.0341028074262,0.009676001283
22,6.60479998589,0.0565999984741,0.650360437454,0.73440828382,0.1,6,sqrt,1e-07,61,802,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 802, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.643240640073,0.738447191177,0.68344803615,0.717037789005,0.661079314557,0.730383795858,0.590734702098,0.747638208206,0.673304872834,0.738534434853,0.0641292145402,0.000800025464436,0.0326869316656,0.0102596236548
23,6.48140001297,0.0545999526978,0.648817086499,0.729568973769,0.1,6,sqrt,1e-07,61,1002,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 61, 'n_estimators': 250, 'min_samples_split': 1002, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",30,0.643993741982,0.728958262562,0.688943872211,0.718441921681,0.653042404552,0.721722374319,0.599269468606,0.747681552838,0.658838294231,0.731040757446,0.0548692905815,0.00195968823331,0.0290063497383,0.0101585928849
24,7.55479998589,0.0642000198364,0.66316279909,0.786915941302,0.1,6,sqrt,1e-07,81,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",4,0.650766352974,0.787265791781,0.706926489348,0.780286486055,0.679455507684,0.782659178489,0.601656613458,0.798962358,0.677012278467,0.785405892183,0.0330296667875,0.00945303968367,0.0355231040439,0.00647438808652
25,7.39660000801,0.05640001297,0.662173170169,0.778190649421,0.1,6,sqrt,1e-07,81,202,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 202, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",9,0.657831449603,0.777295963842,0.708737288346,0.766575713943,0.664700398062,0.773291059156,0.605565600307,0.795809940739,0.674033894818,0.777980569423,0.0794118173218,0.00272758898666,0.0332829535022,0.00969738865216
